Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
05-02-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12900011-2012-05-02-00002-WFEE.pdf
05-02-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12900011-2012-05-02-00001-WFEE.pdf
04-12-2012	NTC.PUB	Notice of Publication	PROSECUTION	1	12900011-2012-04-12-00001-NTC.PUB.pdf
04-04-2012	ISSUE.NTF	Issue Notification	PROSECUTION	1	12900011-2012-04-04-00001-ISSUE.NTF.pdf
03-19-2012	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	12900011-2012-03-19-00003-IFEE.pdf
03-19-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12900011-2012-03-19-00002-WFEE.pdf
03-19-2012	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12900011-2012-03-19-00001-N417.pdf
12-19-2011	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	5	12900011-2011-12-19-00003-NOA.pdf
12-19-2011	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	1	12900011-2011-12-19-00002-IIFW.pdf
12-19-2011	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	12900011-2011-12-19-00001-SRFW.pdf
11-28-2011	A...	Amendment/Req. Reconsideration-After Non-Final Reject	PROSECUTION	1	12900011-2011-11-28-00006-A....pdf
11-28-2011	CLM	Claims	PROSECUTION	9	12900011-2011-11-28-00005-CLM.pdf
11-28-2011	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	6	12900011-2011-11-28-00004-REM.pdf
11-28-2011	XT/	Extension of Time	PROSECUTION	2	12900011-2011-11-28-00003-XT-.pdf
11-28-2011	TRAN.LET	Transmittal Letter	PROSECUTION	1	12900011-2011-11-28-00002-TRAN.LET.pdf
11-28-2011	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12900011-2011-11-28-00001-WFEE.pdf
07-20-2011	CTNF	Non-Final Rejection	PROSECUTION	5	12900011-2011-07-20-00004-CTNF.pdf
07-20-2011	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	12900011-2011-07-20-00003-SRFW.pdf
07-20-2011	1449	List of References cited by applicant and considered by examiner	PRIOR ART	1	12900011-2011-07-20-00002-1449.pdf
