Date	Transaction Description
04-24-2012	Recordation of Patent Grant Mailed
04-13-2012	Email Notification
04-12-2012	PG-Pub Issue Notification
04-05-2012	Email Notification
04-04-2012	Issue Notification Mailed
04-24-2012	Patent Issue Date Used in PTA Calculation
03-20-2012	Dispatch to FDC
03-20-2012	Application Is Considered Ready for Issue
03-19-2012	Issue Fee Payment Verified
03-19-2012	Issue Fee Payment Received
12-19-2011	Mail Notice of Allowance
12-16-2011	Document Verification
12-16-2011	Notice of Allowance Data Verification Completed
12-05-2011	Date Forwarded to Examiner
11-28-2011	Response after Non-Final Action
11-28-2011	Request for Extension of Time - Granted
07-20-2011	Mail Non-Final Rejection
07-18-2011	Non-Final Rejection
04-26-2011	Information Disclosure Statement considered
05-12-2011	Information Disclosure Statement considered
05-12-2011	Reference capture on IDS
05-12-2011	Information Disclosure Statement (IDS) Filed
05-12-2011	Information Disclosure Statement (IDS) Filed
04-26-2011	Reference capture on IDS
04-26-2011	Information Disclosure Statement (IDS) Filed
05-10-2011	Date Forwarded to Examiner
04-26-2011	Response after Non-Final Action
04-26-2011	Request for Extension of Time - Granted
04-26-2011	Information Disclosure Statement (IDS) Filed
12-23-2010	Mail Non-Final Rejection
12-20-2010	Non-Final Rejection
10-07-2010	Information Disclosure Statement considered
11-08-2010	Case Docketed to Examiner in GAU
10-07-2010	Reference capture on IDS
10-07-2010	Information Disclosure Statement (IDS) Filed
11-02-2010	Application Dispatched from OIPE
10-22-2010	Application Is Now Complete
10-22-2010	Sent to Classification Contractor
10-22-2010	Filing Receipt
10-11-2010	Cleared by OIPE CSR
10-07-2010	Information Disclosure Statement (IDS) Filed
10-07-2010	IFW Scan & PACR Auto Security Review
10-07-2010	Initial Exam Team nn
